claim_id,policy_id,customer_id,product,claim_amount,claim_date,report_delay_days,settlement_days,channel,state,suspected_fraud,status
C100042,P202859,U303399,Health,42981.86,2023-10-01,4,23,Online,KA,0,Approved
C100043,P201731,U302784,Motor,20039.39,2024-01-23,4,23,Partner,TN,0,Rejected
C100044,P201393,U304159,Health,21314.7,2024-08-23,7,24,Online,UP,0,Approved
C100045,P201138,U302188,Life,11003.48,2023-11-12,6,24,Agent,TS,0,Approved
C100046,P200636,U300021,Travel,42871.7,2023-01-14,6,12,Online,TN,1,Approved
C100047,P200881,U302317,Motor,46552.04,2023-08-30,2,28,Online,KA,0,Approved
C100048,P203920,U305947,Motor,46256.65,2023-12-12,6,31,Agent,WB,0,Approved
C100049,P203127,U302445,Motor,59996.75,2024-07-18,2,37,Online,MH,0,Approved
C100050,P201378,U304808,Life,33224.88,2023-12-06,5,25,Partner,KL,0,Approved
C100051,P200418,U304750,Life,58597.13,2023-04-02,8,23,Agent,DL,0,Approved
C100052,P200379,U305406,Motor,24337.23,2024-01-02,6,27,Branch,RJ,0,Approved
C100053,P201556,U304011,Home,11119.94,2024-03-30,3,26,Partner,RJ,0,Approved
C100054,P200396,U301217,Motor,41372.11,2024-03-03,2,24,Partner,DL,0,Approved
C100055,P201470,U303658,Health,10916.77,2024-05-23,5,40,Partner,TN,0,Approved
C100056,P203471,U304412,Life,29292.92,2023-02-04,3,20,Online,MH,0,Approved
C100057,P201408,U303967,Travel,43376.01,2023-07-25,5,30,Partner,TN,0,Rejected
C100058,P202472,U302827,Life,31638.48,2023-03-22,8,16,Branch,KL,0,Approved
C100059,P201083,U302723,Travel,84046.17,2024-07-15,8,25,Agent,MH,1,Approved
C100060,P203305,U304521,Motor,10067.18,2024-01-23,3,34,Online,DL,0,Approved
C100061,P200177,U304451,Travel,25811.35,2023-01-02,3,27,Online,TN,0,Approved
C100062,P202988,U303090,Motor,27139.02,2024-01-25,8,21,Agent,GJ,0,Approved
C100063,P201881,U303730,Travel,13738.38,2024-07-19,5,23,Online,KA,0,Approved
C100064,P202196,U302636,Health,15110.33,2023-04-16,4,25,Online,WB,0,Rejected
C100065,P200511,U301545,Travel,17631.38,2024-04-21,1,25,Agent,TS,0,Approved
C100066,P203985,U305713,Health,15524.53,2024-02-06,7,23,Online,WB,0,Approved
C100067,P203777,U301956,Life,25489.01,2024-07-09,4,22,Branch,KL,0,Approved
C100068,P201550,U304684,Health,19900.85,2023-06-11,4,32,Online,TN,0,Approved
C100069,P200322,U303137,Life,31538.18,2023-07-21,5,23,Agent,UP,0,Approved
C100070,P202261,U301913,Motor,37224.23,2023-09-27,3,35,Agent,MH,0,Approved
C100071,P201200,U303365,Motor,35986.15,2023-09-28,5,19,Agent,TN,0,Approved
C100072,P203397,U300357,Motor,21915.22,2024-03-31,4,25,Partner,MH,0,Approved
C100073,P202574,U302606,Motor,31015.36,2024-04-06,6,15,Agent,TS,0,Approved
C100074,P202533,U303874,Travel,45141.82,2023-09-09,5,31,Online,GJ,0,Rejected
C100075,P203626,U305777,Motor,33616.84,2023-10-23,5,25,Agent,WB,0,Approved
C100076,P203529,U303123,Home,68151.53,2023-12-04,2,23,Agent,KA,0,Approved
C100077,P201481,U303162,Motor,43962.38,2023-02-22,5,26,Branch,TS,0,Rejected
C100078,P202364,U305436,Motor,63525.94,2023-08-05,3,17,Online,TS,0,Approved
C100079,P200787,U305341,Life,7737.46,2023-07-07,1,18,Agent,WB,0,Rejected
C100080,P202885,U301246,Life,28235.58,2024-01-15,5,21,Online,TS,0,Approved
C100081,P200284,U304057,Health,22880.35,2024-05-07,4,31,Agent,UP,0,Approved
C100082,P200187,U300303,Health,25273.46,2023-02-10,3,26,Online,UP,1,Rejected
C100083,P202708,U301034,Life,17989.08,2023-06-06,4,17,Online,RJ,0,Approved
C100084,P200933,U304114,Motor,32797.24,2023-01-15,2,23,Agent,RJ,0,Approved
C100085,P203166,U304834,Home,10892.41,2023-03-06,4,29,Agent,UP,0,Approved
C100086,P201185,U302719,Home,32916.14,2024-06-04,7,26,Agent,DL,0,Approved
C100087,P200326,U300822,Life,18290.63,2023-12-10,3,27,Partner,GJ,0,Approved
C100088,P203503,U303606,Motor,20948.18,2023-05-09,3,27,Partner,MH,0,Rejected
C100089,P200953,U300816,Life,33498.33,2024-04-16,2,27,Agent,GJ,0,Approved
C100090,P203549,U304308,Motor,27984.02,2023-03-04,4,23,Branch,KL,0,Approved
C100091,P200413,U303743,Motor,45567.98,2023-05-19,4,24,Agent,TS,0,Rejected
C100092,P201556,U300125,Motor,16568.33,2024-05-13,0,24,Agent,KA,0,Approved
C100093,P201138,U305918,Health,25839.18,2024-08-15,2,34,Branch,TS,0,Approved
C100094,P201857,U301180,Travel,41956.41,2024-01-27,5,16,Partner,GJ,0,Approved
C100095,P202603,U303358,Life,32228.29,2024-02-23,2,32,Partner,UP,0,Approved
C100096,P203416,U305363,Life,33282.84,2023-10-16,5,19,Online,WB,0,Approved
C100097,P201494,U301264,Health,46817.93,2024-01-14,2,29,Agent,KL,0,Approved
C100098,P200666,U300612,Motor,21957.82,2024-05-04,5,26,Branch,UP,0,Approved
C100099,P201516,U303846,Health,19763.35,2023-08-19,7,36,Agent,GJ,0,Approved
C100100,P201455,U302171,Home,35880.61,2023-02-10,3,22,Online,WB,0,Approved
C100101,P200858,U302773,Motor,24966.35,2023-01-28,5,26,Agent,KA,0,Approved
C100102,P202745,U305105,Travel,47150.59,2023-05-15,1,24,Online,GJ,0,Approved
C100103,P201093,U305674,Health,32366.74,2023-07-20,1,29,Agent,MH,0,Approved
C100104,P202874,U303256,Health,19699.03,2023-02-02,4,29,Agent,TN,0,Approved
C100105,P203836,U305323,Life,31862.72,2023-02-17,9,28,Partner,WB,0,Approved
C100106,P202799,U300657,Health,17131.09,2024-05-17,4,34,Agent,GJ,0,Approved
C100107,P202654,U302691,Travel,43194.32,2024-02-11,5,22,Online,UP,0,Approved
C100108,P200292,U305524,Home,13378.76,2024-07-27,6,28,Agent,MH,0,Approved
C100109,P202495,U304371,Health,49564.62,2023-04-09,4,27,Agent,DL,0,Approved
C100110,P202600,U303113,Motor,31585.02,2024-06-30,1,28,Agent,WB,0,Approved
C100111,P200700,U302594,Health,24778.2,2024-09-04,1,34,Agent,MH,0,Approved
C100112,P202187,U305134,Home,39405.75,2024-04-06,5,28,Branch,UP,0,Approved
C100113,P202986,U305887,Motor,34740.57,2023-01-05,7,27,Agent,GJ,0,Approved
C100114,P201002,U303997,Life,52322.97,2023-08-06,6,25,Partner,TS,0,Approved
C100115,P200669,U304432,Life,52079.72,2024-05-17,6,30,Online,KA,0,Approved
C100116,P201893,U300294,Life,32085.04,2024-02-02,4,21,Online,TS,0,Approved
C100117,P201554,U305058,Motor,17398.07,2024-01-28,7,24,Online,TN,0,Rejected
C100118,P201105,U300560,Life,20521.85,2023-07-26,4,28,Online,MH,0,Approved
C100119,P203790,U301923,Home,25956.48,2023-01-15,6,25,Branch,TN,0,Approved
C100120,P202621,U305170,Motor,46205.81,2024-07-07,5,22,Agent,KA,0,Approved
C100121,P202818,U305606,Motor,21414.14,2024-04-05,3,25,Agent,MH,0,Approved
C100122,P202281,U302354,Home,22326.5,2024-07-28,4,24,Branch,RJ,0,Approved
C100123,P200899,U301863,Motor,67790.36,2023-08-29,3,31,Partner,UP,0,Approved
C100124,P202804,U300740,Travel,25536.16,2024-07-17,2,25,Branch,MH,0,Approved
C100125,P201328,U303555,Health,19587.25,2023-04-06,3,31,Online,UP,0,Rejected
C100126,P203452,U300806,Motor,39668.91,2024-04-29,7,24,Branch,TS,0,Approved
C100127,P203147,U305191,Travel,26158.59,2024-02-11,3,27,Online,KL,0,Rejected
C100128,P203178,U305766,Health,13429.38,2023-08-19,6,29,Online,WB,0,Approved
C100129,P200229,U300823,Health,45272.59,2023-06-20,7,29,Agent,KL,0,Approved
C100130,P200938,U303634,Health,18517.66,2024-06-24,0,34,Online,GJ,0,Approved
C100131,P203366,U301362,Health,27495.92,2023-02-05,7,36,Agent,WB,0,Approved
C100132,P200131,U305685,Motor,26002.04,2024-06-08,5,19,Agent,WB,0,Approved
C100133,P203297,U302453,Health,30183.5,2023-06-09,5,35,Branch,DL,0,Rejected
C100134,P201292,U300237,Home,8995.35,2023-08-31,7,18,Agent,WB,0,Approved
C100135,P201643,U300376,Motor,22752.95,2023-03-27,6,32,Agent,KA,0,Approved
C100136,P201096,U302657,Life,47212.72,2024-07-31,5,24,Agent,KL,0,Approved
C100137,P200271,U300459,Motor,50651.43,2024-07-10,0,26,Partner,TS,0,Approved
C100138,P200864,U302403,Life,16388.82,2024-07-27,7,18,Online,UP,0,Approved
C100139,P203740,U302936,Motor,42629.39,2023-01-28,3,25,Online,GJ,0,Rejected
C100140,P203862,U303070,Home,18384.9,2024-09-11,5,27,Branch,WB,0,Approved
C100141,P202323,U303528,Health,22308.74,2024-07-09,6,20,Branch,GJ,0,Approved
C100142,P203589,U301192,Motor,22902.65,2023-12-06,8,22,Agent,TS,0,Approved
C100143,P202940,U302000,Motor,28407.31,2023-11-27,4,28,Online,GJ,0,Approved
C100144,P201288,U304351,Motor,44386.17,2024-05-20,6,23,Branch,TS,0,Approved
C100145,P200870,U303375,Health,30708.42,2023-12-14,4,26,Online,WB,1,Rejected
C100146,P202684,U304636,Motor,25258.91,2024-04-17,1,18,Agent,TS,0,Approved
C100147,P202044,U305585,Travel,43636.78,2023-08-19,1,26,Branch,WB,0,Approved
C100148,P201620,U301475,Health,18009.76,2023-07-09,4,24,Online,DL,0,Approved
C100149,P203623,U301392,Motor,25884.28,2023-08-13,5,16,Agent,DL,1,Approved
C100150,P203745,U301434,Life,44262.39,2024-01-20,4,17,Online,TS,0,Approved
C100151,P202633,U300646,Life,35054.28,2024-01-12,5,23,Agent,DL,0,Approved
C100152,P201879,U304992,Motor,21308.22,2023-10-10,0,18,Agent,UP,0,Approved
C100153,P200585,U303133,Motor,12626.1,2024-09-19,2,24,Branch,UP,0,Approved
C100154,P201084,U305076,Motor,31427.2,2023-09-16,5,25,Agent,DL,0,Approved
C100155,P200571,U305596,Life,12217.96,2023-12-25,5,19,Online,DL,0,Approved
C100156,P201010,U301972,Life,24191.32,2024-03-31,5,22,Online,RJ,0,Approved
C100157,P203051,U304076,Health,48507.52,2024-02-15,6,33,Agent,RJ,0,Rejected
C100158,P202299,U304777,Travel,36256.69,2023-11-14,4,29,Partner,WB,0,Rejected
C100159,P202207,U301172,Travel,9780.77,2023-08-13,9,23,Agent,TS,0,Approved
C100160,P201076,U301902,Health,29739.33,2023-08-22,7,29,Agent,TN,0,Approved
C100161,P203059,U303777,Travel,22934.9,2024-01-09,2,25,Agent,TN,0,Approved
C100162,P202394,U305225,Motor,14230.48,2024-08-30,3,24,Agent,DL,0,Approved
C100163,P201754,U302080,Motor,31809.19,2024-04-16,4,23,Agent,GJ,0,Approved
C100164,P203677,U303764,Motor,21038.96,2023-08-21,6,19,Online,DL,0,Approved
C100165,P202390,U302091,Motor,21104.32,2023-04-23,5,23,Partner,RJ,0,Approved
C100166,P201635,U305462,Health,28624.62,2024-05-11,4,33,Agent,WB,0,Rejected
C100167,P201482,U300076,Home,19674.09,2024-03-17,3,12,Online,DL,0,Approved
C100168,P200898,U303811,Motor,28222.31,2024-07-17,5,26,Online,KL,0,Approved
C100169,P200566,U302356,Motor,19997.0,2023-09-25,1,27,Branch,GJ,0,Approved
C100170,P202087,U305550,Health,20553.15,2024-05-24,3,27,Online,KL,0,Approved
C100171,P202021,U304477,Home,44199.33,2024-01-21,7,22,Agent,WB,0,Rejected
C100172,P200372,U301294,Motor,46505.96,2024-01-22,1,28,Agent,WB,0,Rejected
C100173,P203095,U300605,Health,11449.17,2023-04-23,6,25,Online,UP,0,Approved
C100174,P200192,U303618,Motor,39086.66,2024-09-04,8,28,Branch,MH,0,Rejected
C100175,P203527,U302830,Motor,54138.21,2024-09-16,5,30,Agent,KL,0,Approved
C100176,P200449,U304813,Home,58611.63,2023-03-22,5,28,Agent,UP,0,Approved
C100177,P200626,U302450,Home,34898.18,2023-04-23,1,20,Partner,RJ,0,Approved
C100178,P202570,U305234,Motor,15855.97,2023-01-02,3,20,Branch,KA,1,Approved
C100179,P200655,U303475,Home,36863.99,2023-08-08,6,21,Partner,GJ,0,Approved
C100180,P203244,U305655,Life,17419.99,2024-07-19,3,27,Branch,KA,0,Approved
C100181,P202787,U302048,Travel,22663.65,2023-08-13,2,32,Agent,TS,0,Approved
C100182,P201729,U303742,Health,32582.84,2024-01-20,6,15,Online,RJ,0,Approved
C100183,P202442,U302474,Health,17990.88,2024-02-07,3,25,Online,RJ,0,Approved
C100184,P200260,U301631,Health,15165.83,2023-05-10,10,28,Agent,KA,0,Approved
C100185,P201576,U303151,Life,33958.23,2023-02-22,1,19,Online,KL,0,Approved
C100186,P201563,U303958,Motor,68433.11,2024-02-20,4,24,Online,MH,0,Approved
C100187,P202440,U300873,Motor,50092.03,2023-09-04,1,29,Agent,KL,0,Rejected
C100188,P201917,U301943,Motor,38314.86,2024-03-14,6,28,Branch,KA,0,Approved
C100189,P202167,U303124,Life,43896.63,2023-07-22,1,30,Online,TS,0,Rejected
C100190,P201029,U304685,Motor,37006.9,2023-07-03,4,13,Partner,KL,0,Rejected
C100191,P203977,U302940,Life,33689.79,2023-05-03,1,26,Agent,TN,0,Approved
C100192,P202266,U304708,Home,42163.45,2024-02-05,3,26,Agent,KL,0,Approved
C100193,P203525,U302423,Motor,13572.74,2023-10-21,5,20,Online,WB,0,Approved
C100194,P203860,U305728,Life,29724.97,2023-10-07,5,28,Agent,UP,0,Approved
C100195,P200047,U302418,Health,25836.05,2024-09-01,5,30,Online,GJ,0,Approved
C100196,P202786,U300179,Travel,27985.77,2023-07-17,9,17,Branch,KL,0,Approved
C100197,P202952,U305392,Motor,21360.82,2024-05-25,3,23,Agent,MH,0,Approved
C100198,P200469,U303242,Life,34900.06,2023-05-24,3,17,Online,MH,0,Approved
C100199,P202792,U302248,Travel,17872.81,2024-08-31,4,28,Online,KL,0,Approved
C100200,P203624,U300066,Home,20600.54,2023-07-20,4,20,Agent,DL,0,Approved
C100201,P202199,U304636,Life,19400.61,2023-05-04,3,29,Partner,RJ,0,Rejected
C100202,P203075,U305618,Health,41438.82,2023-07-06,7,22,Branch,KL,0,Approved
C100203,P201092,U300401,Life,26745.95,2023-11-22,4,20,Online,RJ,0,Approved
C100204,P203148,U304967,Travel,21366.59,2024-04-08,1,17,Online,TN,0,Rejected
C100205,P202625,U304069,Health,22321.04,2023-12-15,5,29,Online,KA,0,Approved
C100206,P201393,U302344,Motor,26955.44,2024-02-07,7,22,Partner,TN,0,Approved
C100207,P200456,U301885,Home,60541.69,2023-12-12,2,15,Online,KL,0,Approved
C100208,P201202,U304973,Life,14497.62,2024-05-25,5,16,Online,MH,0,Approved
C100209,P201780,U302886,Life,37712.81,2023-05-27,6,19,Branch,DL,0,Rejected
C100210,P200647,U301794,Motor,34061.78,2023-05-28,9,28,Agent,TS,0,Approved
C100211,P201858,U305215,Life,17300.96,2024-05-03,3,31,Branch,RJ,0,Rejected
C100212,P200013,U301557,Health,56018.46,2024-07-04,4,24,Agent,UP,0,Approved
C100213,P203906,U305086,Life,35229.54,2023-12-04,8,29,Agent,RJ,0,Approved
C100214,P202957,U302053,Motor,20871.36,2024-04-17,2,24,Agent,WB,0,Approved
C100215,P203587,U305552,Life,10617.87,2023-05-31,2,26,Partner,GJ,0,Approved
C100216,P202947,U305905,Home,30169.1,2024-02-19,2,27,Branch,KL,0,Approved
C100217,P201078,U305400,Motor,26307.97,2023-10-25,7,15,Online,TN,0,Approved
C100218,P203980,U305577,Home,16068.94,2024-09-02,6,17,Online,UP,0,Rejected
C100219,P202050,U301120,Health,15965.62,2023-09-20,6,30,Online,MH,0,Approved
C100220,P203120,U305146,Travel,41533.47,2023-05-24,6,28,Partner,MH,0,Approved
C100221,P200731,U300795,Life,10118.82,2023-12-12,1,17,Online,MH,0,Approved
C100222,P202079,U305140,Health,31481.06,2024-09-15,5,41,Agent,TS,0,Approved
C100223,P203738,U305294,Life,24496.4,2024-07-25,4,17,Agent,WB,0,Approved
C100224,P200435,U300322,Travel,34495.27,2023-01-02,2,31,Branch,MH,0,Approved
C100225,P203565,U302530,Health,23221.82,2023-10-31,6,33,Online,MH,0,Approved
C100226,P202561,U303611,Motor,31152.12,2023-09-11,5,34,Agent,KL,0,Approved
C100227,P201222,U300273,Life,18557.19,2024-03-28,4,23,Agent,WB,0,Approved
C100228,P203447,U304747,Travel,26249.38,2023-02-06,4,31,Branch,DL,0,Approved
C100229,P202617,U302988,Life,34356.34,2023-06-09,0,19,Agent,DL,0,Approved
C100230,P202079,U305999,Life,29011.16,2023-01-09,5,25,Online,WB,0,Rejected
C100231,P202494,U301076,Health,32537.66,2023-08-21,5,29,Partner,GJ,0,Approved
C100232,P200814,U300738,Travel,16916.41,2023-04-09,4,23,Online,TS,0,Approved
C100233,P200626,U302417,Motor,20023.52,2023-07-27,2,25,Agent,UP,0,Rejected
C100234,P201531,U302676,Health,20197.82,2023-05-11,4,26,Online,RJ,0,Approved
C100235,P203123,U303403,Motor,23429.59,2024-02-08,4,24,Branch,KL,0,Approved
C100236,P200661,U301438,Motor,53065.99,2023-06-01,0,26,Online,KA,0,Approved
C100237,P202209,U301644,Health,22536.93,2023-02-23,8,26,Partner,DL,0,Rejected
C100238,P203905,U301082,Health,15187.38,2023-04-30,4,34,Agent,WB,0,Approved
C100239,P203189,U304418,Life,35271.23,2024-09-19,10,19,Online,UP,0,Approved
C100240,P203778,U302997,Health,52750.14,2024-08-09,6,29,Online,WB,0,Approved
C100241,P202172,U304348,Health,14319.74,2024-09-16,3,22,Branch,RJ,1,Approved
C100242,P203762,U304110,Motor,72142.99,2024-02-24,4,29,Agent,UP,0,Approved
C100243,P200002,U302232,Health,33109.92,2024-02-26,4,28,Branch,DL,0,Approved
C100244,P202453,U301347,Motor,45113.89,2023-04-14,3,27,Online,MH,0,Approved
C100245,P201327,U302105,Motor,56024.02,2023-09-11,2,23,Agent,WB,0,Approved
C100246,P202001,U303947,Life,43752.71,2023-08-15,3,27,Agent,KA,0,Approved
C100247,P200079,U302417,Life,25456.65,2023-04-22,5,30,Branch,DL,0,Approved
C100248,P200458,U302774,Life,49456.51,2024-05-24,3,25,Agent,TN,0,Approved
C100249,P203805,U300943,Health,30555.5,2024-04-17,2,34,Agent,KA,0,Approved
C100250,P201486,U303836,Health,46408.71,2023-04-09,3,42,Agent,GJ,0,Approved
C100251,P203599,U300616,Travel,49017.75,2023-06-02,6,15,Branch,TS,0,Approved
C100252,P203406,U301153,Health,15592.6,2023-12-04,5,22,Online,DL,0,Approved
C100253,P203304,U301848,Health,40020.64,2023-06-12,5,24,Branch,MH,0,Approved
C100254,P201259,U305540,Motor,24564.41,2023-06-10,2,23,Agent,DL,0,Rejected
C100255,P200980,U305932,Motor,28827.8,2024-08-02,4,20,Online,RJ,0,Approved
C100256,P200237,U305524,Health,28668.27,2024-02-02,4,38,Online,UP,0,Approved
C100257,P200986,U303255,Health,28098.88,2023-10-04,4,27,Branch,WB,0,Approved
C100258,P203596,U304565,Health,57627.93,2024-05-18,6,32,Partner,UP,0,Approved
C100259,P202323,U302996,Health,13585.74,2024-01-27,4,36,Agent,UP,0,Approved
C100260,P203878,U300739,Life,11371.08,2023-05-15,5,25,Online,DL,0,Approved
C100261,P200322,U303232,Life,10232.81,2023-07-14,5,15,Agent,RJ,0,Approved
C100262,P200350,U300114,Travel,45916.15,2024-02-05,4,36,Online,WB,0,Approved
C100263,P202997,U302166,Life,18274.85,2023-02-02,5,23,Agent,WB,0,Approved
C100264,P201990,U304395,Home,28741.38,2024-04-04,3,25,Agent,UP,0,Approved
C100265,P203342,U301012,Motor,25403.48,2024-04-14,4,29,Agent,GJ,0,Approved
C100266,P200283,U303725,Motor,17271.49,2024-01-10,6,18,Online,TS,0,Approved
C100267,P203115,U303019,Motor,41181.26,2023-01-22,4,18,Agent,RJ,0,Rejected
C100268,P202181,U305511,Life,25242.1,2023-02-07,1,21,Online,GJ,0,Approved
C100269,P203136,U305507,Travel,23888.02,2023-08-18,1,28,Online,KL,0,Approved
C100270,P200515,U302147,Motor,30225.33,2023-12-31,4,30,Agent,KL,0,Approved
C100271,P200525,U304788,Home,38576.02,2024-07-16,6,14,Branch,KA,0,Approved
C100272,P202702,U303121,Motor,16655.77,2024-03-13,4,23,Agent,UP,1,Approved
C100273,P201946,U305230,Home,41625.12,2023-10-10,3,24,Online,WB,0,Approved
C100274,P203878,U303043,Health,55543.78,2023-01-27,14,29,Online,DL,0,Approved
C100275,P202251,U300887,Motor,13186.37,2023-08-14,5,20,Agent,WB,0,Approved
C100276,P200676,U305528,Health,30919.72,2023-10-04,4,31,Agent,WB,0,Approved
C100277,P201085,U301915,Motor,23098.87,2024-08-31,5,23,Agent,MH,0,Approved
C100278,P202161,U303862,Motor,38162.75,2023-10-11,3,35,Partner,WB,0,Approved
C100279,P203573,U300205,Motor,14642.31,2024-04-25,7,27,Online,KA,0,Approved
C100280,P202484,U305075,Travel,60746.77,2024-03-28,7,21,Online,GJ,0,Approved
C100281,P201733,U304599,Health,12040.76,2024-05-30,7,27,Online,KL,1,Approved
C100282,P203950,U302687,Motor,23809.97,2024-06-30,0,24,Agent,WB,0,Approved
C100283,P200867,U304997,Life,33427.96,2023-07-11,5,26,Online,WB,0,Rejected
C100284,P203804,U301813,Life,19088.31,2023-02-18,3,22,Branch,MH,0,Approved
C100285,P202208,U305305,Motor,17646.61,2024-05-26,5,20,Agent,RJ,0,Approved
C100286,P203093,U300517,Health,30065.03,2023-01-17,0,24,Agent,DL,0,Approved
C100287,P202989,U305205,Motor,27969.78,2023-06-21,6,27,Agent,RJ,0,Approved
C100288,P202825,U303803,Motor,26983.18,2023-08-08,4,30,Online,DL,0,Approved
C100289,P200823,U305743,Life,41330.01,2023-06-07,6,21,Partner,TS,0,Approved
C100290,P202920,U302475,Motor,22087.42,2024-04-21,3,24,Agent,WB,0,Approved
C100291,P201276,U305318,Health,31564.75,2023-02-15,1,30,Online,MH,0,Approved
C100292,P201634,U303344,Life,20883.16,2024-01-08,2,23,Agent,TN,0,Approved
C100293,P202751,U300955,Motor,17594.39,2024-06-01,3,26,Partner,UP,0,Rejected
C100294,P202661,U301145,Health,23332.92,2023-04-09,6,28,Agent,KL,0,Rejected
C100295,P201529,U300371,Motor,20965.16,2023-02-06,8,23,Online,GJ,0,Approved
C100296,P201794,U300304,Home,21495.48,2023-10-07,4,22,Online,KL,0,Approved
C100297,P203684,U302493,Health,48178.29,2023-12-15,1,36,Online,GJ,0,Approved
C100298,P202119,U304035,Travel,23693.32,2024-05-11,4,24,Online,TS,0,Approved
C100299,P201849,U300951,Health,19313.25,2023-10-29,6,32,Agent,RJ,0,Approved
C100300,P200495,U300796,Motor,27283.55,2023-06-30,8,32,Agent,KA,0,Approved
C100301,P201015,U301923,Life,28342.39,2024-08-29,6,25,Agent,WB,0,Approved
C100302,P200920,U304403,Home,14861.95,2023-04-09,6,20,Agent,TN,0,Rejected
C100303,P200262,U301111,Life,23174.25,2023-04-26,5,27,Online,GJ,0,Approved
C100304,P201384,U303183,Travel,22712.21,2023-07-10,4,32,Agent,UP,0,Rejected
C100305,P200086,U303716,Travel,24684.43,2023-09-10,5,25,Agent,GJ,0,Approved
C100306,P202409,U303039,Motor,38667.87,2023-06-10,5,23,Online,KA,0,Approved
C100307,P202268,U305492,Motor,28805.91,2023-09-13,4,18,Partner,KL,0,Approved
C100308,P200942,U305705,Life,49710.36,2023-11-19,11,26,Online,MH,1,Approved
C100309,P202410,U304425,Health,26746.79,2023-05-08,8,34,Agent,KL,0,Rejected
C100310,P200902,U303433,Travel,65384.7,2023-01-18,5,27,Agent,TS,0,Approved
C100311,P200029,U304811,Home,21367.2,2024-07-19,7,26,Partner,MH,1,Approved
